"condition","init","percent_bias","where_bias","level_bias","who_biased","size_net","rewire","mean_cond","std_cond"
"3",20,20,7,"lowest","centeigen",150,0.1,0.030552799281811,0.0133833230543683
"3",20,20,7,"lowest","centeigen",150,0.9,0.0309855772082123,0.00775145668747344
"3",20,20,7,"lowest","cluscoeff",150,0.1,0.029987751247342,0.0129948899753579
"3",20,20,7,"lowest","cluscoeff",150,0.9,0.0298497445016994,0.00764170940547182
"3",20,20,7,"lowest","degree",150,0.1,0.0306330798615934,0.0128769587543765
"3",20,20,7,"lowest","degree",150,0.9,0.0311569862031005,0.00825856845781124
"3",20,20,7,"random","none",150,0.1,0.0303295302541312,0.0124618572741094
"3",20,20,7,"random","none",150,0.9,0.0309353811357539,0.00749954492347954
"4",0,0,NA,"none","none",150,0.1,0.0987922408996923,0.0352839378259142
"4",0,0,NA,"none","none",150,0.9,0.100813065188873,0.0194609962056011
"4",0,20,7,"highest","centbet",150,0.1,0.0818356679387507,0.0337098243935001
"4",0,20,7,"highest","centbet",150,0.9,0.0783312071481118,0.0147977880129577
"4",0,20,7,"highest","centclos",150,0.1,0.0832812171158039,0.0350059942317375
"4",0,20,7,"highest","centclos",150,0.9,0.0783883312843058,0.0150060440877923
"4",0,20,7,"highest","centeigen",150,0.1,0.0836211092337563,0.0344193573722203
"4",0,20,7,"highest","centeigen",150,0.9,0.0787844721121189,0.0168149149830514
"4",0,20,7,"highest","cluscoeff",150,0.1,0.0823477635559096,0.0307401377957003
"4",0,20,7,"highest","cluscoeff",150,0.9,0.079232861809665,0.0168319457858738
"4",0,20,7,"highest","degree",150,0.1,0.0804600285857662,0.0300929829676693
"4",0,20,7,"highest","degree",150,0.9,0.0777153097885378,0.0169956952243972
"4",0,20,7,"lowest","centbet",150,0.1,0.0852619249910575,0.0318426637044487
"4",0,20,7,"lowest","centbet",150,0.9,0.0866395681964095,0.017986726927225
"4",0,20,7,"lowest","centclos",150,0.1,0.0831466330694183,0.0324692848210605
"4",0,20,7,"lowest","centclos",150,0.9,0.0864548375746863,0.0173969893165468
"4",0,20,7,"lowest","centeigen",150,0.1,0.0837953215159012,0.033663261758032
"4",0,20,7,"lowest","centeigen",150,0.9,0.0858418370395754,0.0189644557523209
"4",0,20,7,"lowest","cluscoeff",150,0.1,0.0808935288994925,0.0328835825298044
"4",0,20,7,"lowest","cluscoeff",150,0.9,0.0829803112753018,0.0169706999057762
"4",0,20,7,"lowest","degree",150,0.1,0.0855614683487974,0.0331224407229043
"4",0,20,7,"lowest","degree",150,0.9,0.0833318876680098,0.0166541196016428
"4",0,20,7,"random","none",150,0.1,0.0817121097732135,0.0297657862301576
"4",0,20,7,"random","none",150,0.9,0.0833208982148251,0.0184501617330006
"4",5,0,NA,"none","none",150,0.1,0.398914722453783,0.0507095602318947
"4",5,0,NA,"none","none",150,0.9,0.396073546885929,0.0275256096438755
"4",5,20,7,"highest","centbet",150,0.1,0.338274237424485,0.0513919789634184
"4",5,20,7,"highest","centbet",150,0.9,0.325063301546746,0.0260978039497457
"4",5,20,7,"highest","centclos",150,0.1,0.343830335374711,0.0609123898956882
"4",5,20,7,"highest","centclos",150,0.9,0.329933581463862,0.0275146375901766
"4",5,20,7,"highest","centeigen",150,0.1,0.346005698582037,0.0662290575674264
"4",5,20,7,"highest","centeigen",150,0.9,0.329408612977558,0.0294192317350441
"4",5,20,7,"highest","cluscoeff",150,0.1,0.342383364132121,0.0506231843561945
"4",5,20,7,"highest","cluscoeff",150,0.9,0.33468708961424,0.0284815916828529
"4",5,20,7,"highest","degree",150,0.1,0.334802192532986,0.0524307735154716
"4",5,20,7,"highest","degree",150,0.9,0.326891290611293,0.0257516470791738
"4",5,20,7,"lowest","centbet",150,0.1,0.345272544191817,0.052897627789657
"4",5,20,7,"lowest","centbet",150,0.9,0.354668489670542,0.025689516827002
"4",5,20,7,"lowest","centclos",150,0.1,0.345146932756633,0.0670243178460982
"4",5,20,7,"lowest","centclos",150,0.9,0.356413734861603,0.028326321471131
"4",5,20,7,"lowest","centeigen",150,0.1,0.347552725823298,0.0673708465624429
"4",5,20,7,"lowest","centeigen",150,0.9,0.355470082898723,0.0302704231337181
"4",5,20,7,"lowest","cluscoeff",150,0.1,0.339997481726706,0.0524676216573243
"4",5,20,7,"lowest","cluscoeff",150,0.9,0.341982420454695,0.0263086442138157
