"rep_id","size_net","clus_coeff","pathlength","connec","init_mode","assortativity","init","neighbors","path_type","neigh_type","klb","mean_entrop_jef","std_entrop_jef","mean_entrop_lap","std_entrop_lap","mean_sum_meas","std_sum_meas","mean_ratio_first","std_ratio_first","mean_value_lang","sd_value_lang","mean_max_cond","sd_max_cond","mean_of_std","std_of_mean"
604,50,0.241348080024551,1.78367346938776,0.24,0.556525512019614,-0.00208768267223383,5,11.88,"unknown","small",6.65964834355088e-05,2.08190511929941,0.00330038083709392,2.08201492932483,0.00330024282310541,35655,9264.28296067808,0.308775798995572,0.00213533927297088,5.21300614895901,0.014596144061726,4,0,0.00159286806147218,0.0807576567917962
605,50,0.241747216319972,1.78448979591837,0.24,0.504949058055223,-0.00251210827363145,5,11.88,"unknown","small",7.11236161961093e-05,1.82116914446265,0.00647595042800764,1.82139796743074,0.00647360196131039,35655,8235.7111882041,0.47198101614564,0.00310020802070278,5.00091328193057,0.0167924176332255,4,0,0.00161440730092544,0.132242972533071
606,50,0.244865017335605,1.78530612244898,0.24,0.523053781434827,-0.00299297826152633,5,11.88,"unknown","small",5.6110091597775e-05,1.78334241133345,0.00765398994866673,1.78358623182973,0.00764949764640043,35655,6766.54435062533,0.484319153976508,0.00323126912617418,4.85294629283095,0.00893965754345976,4,0,0.00146937090609667,0.137221478572704
607,50,0.243158988070753,1.78612244897959,0.25,0.536534124521022,0.0356915570640646,5,11.88,"unknown","small",7.61547529405881e-05,2.09673567058206,0.00507411755939819,2.09683999891188,0.00507200391275957,35655,9204.61286308032,0.301819652455801,0.00333871688506369,4.57733107076175,0.018416845657477,4,0,0.00172175010518806,0.0769441560075481
608,50,0.254275551246139,1.7869387755102,0.25,0.617971964415763,0.0113098732285768,5,11.88,"unknown","small",7.18935145964094e-05,1.97977048909182,0.0059315263335669,1.97992922150212,0.00593917031928545,35655,7729.50878920834,0.37869082796312,0.0037014439045601,4.94856394659481,0.0160423629105752,4,0,0.00168158435843312,0.101615431300296
609,50,0.240753625459508,1.7869387755102,0.24,0.54380176433879,0.0457141132642351,5,11.92,"unknown","small",5.71161687911133e-05,2.00079459049524,0.00506884955284745,2.00093939720601,0.00507807234073159,35775,7991.21967141028,0.377048573626362,0.00289980590318501,5.14220248828979,0.0118449610368314,4,0,0.00148449631014795,0.0997312650637728
610,50,0.247716055186643,1.78775510204082,0.24,0.609857388902834,-0.00989188148553116,5,11.92,"unknown","small",8.05511241371494e-05,1.99563787394772,0.00638414979448343,1.99579048696037,0.0063882803238472,35775,8372.84239645763,0.364050689575373,0.00286381981368456,5.02905806202076,0.0107357822818425,4,0,0.00173131382906726,0.0975841670722933
611,50,0.244928803222921,1.78367346938776,0.24,0.566186615036626,0.0458354640904086,5,11.92,"unknown","small",7.34504632790907e-05,1.92569169720613,0.00800647771189192,1.92586911306998,0.00799946545384812,35775,8416.60167012016,0.426639923100681,0.00417991686610252,4.99174973645675,0.0142236571492114,4,0,0.00167965148848546,0.115742449679337
612,50,0.244701292859188,1.78775510204082,0.24,0.535086135742814,-0.00722925931207944,5,11.92,"unknown","small",6.95695905214001e-05,2.02901254234481,0.00512856421186992,2.02914171736149,0.00512725954601289,35775,8394.75054630534,0.367128621008021,0.00304090264104461,5.02262313129983,0.013260534429738,4,0,0.00164830231962356,0.0953891288202868
613,50,0.256727779959978,1.78775510204082,0.24,0.599869519367108,-0.00492841501356943,5,11.92,"unknown","small",6.8900479464801e-05,1.94267105721424,0.0052571930578717,1.9428447756164,0.00525458970293719,35775,9288.04366387459,0.410699867590479,0.0028272125447453,4.99983036384325,0.0142227430834294,4,0,0.00159924173210092,0.110980264724585
614,50,0.248537707390649,1.7869387755102,0.25,0.548442276638496,0.0163811036399576,5,11.92,"unknown","small",7.94181860230733e-05,1.87050815818329,0.0101469716792058,1.87071646449942,0.0101324219631351,35775,7638.67709456959,0.431900249930958,0.00495587176076093,5.03679561349499,0.0145197373770558,4,0,0.00175242430713439,0.120918509352735
