"rep_id","size_net","clus_coeff","pathlength","init_mode","assortativity","init","family","rewire","neighbors","mean_mean","mean_sd","sd_mean","sd_sd"
3796,150,0.452853271543049,"1.5472035794183445",0.543630516693065,-0.00869662383318971,0.1,7,0.1,67.4666666666667,0.492861253021115,4.98249285756717e-07,7.29278686563009e-06,4.6580228495772e-08
3797,150,0.44985581132699,"1.548724832214765",0.477926818208091,-0.011702707426648,0.1,7,0.1,67.24,0.502514340342917,4.99668735631192e-07,5.66057478290585e-06,4.49495256061813e-08
3798,150,0.451390010814983,"1.5474720357941834",0.475390572359937,0.00377040760492747,0.1,7,0.1,67.4266666666667,0.509863444543784,4.98071050063748e-07,8.19774091280761e-06,4.40780188833867e-08
3799,150,0.447525445223343,"1.5514988814317674",0.534109413507798,0.0133629640774946,0.1,7,0.1,66.8266666666667,0.490191542376066,5.02556727756527e-07,6.11193392590559e-06,4.43905810140272e-08
3800,150,0.44769033928522,"1.552393736017897",0.479642225208851,-0.0179528765369395,0.1,7,0.1,66.6933333333333,0.500102539933505,5.04170434514732e-07,5.86445400104907e-06,4.69940270326703e-08
3801,150,0.454689962623771,"1.5476510067114093",0.503162361870151,-0.0188407422651313,0.5,7,0.1,67.4,0.482847985844747,4.99329573407048e-07,1.5474503869596e-05,4.93952854701941e-08
3802,150,0.45543721342263,"1.54586129753915",0.464422857511617,-0.0199581636366336,0.5,7,0.1,67.6666666666667,0.470498823635099,4.96764644426543e-07,1.45399221691176e-05,4.71649847226711e-08
3803,150,0.453506235210209,"1.5446979865771813",0.502234674833662,-0.0133782705902395,0.5,7,0.1,67.84,0.501425379885175,4.94709017909651e-07,1.65703533939338e-05,4.09125117749492e-08
3804,150,0.451558643875722,"1.5477404921700224",0.494143516010373,-0.0259079045135424,0.5,7,0.1,67.3866666666667,0.489287928896869,4.9834661501396e-07,1.32579723295674e-05,4.36636578579759e-08
3805,150,0.44453333648971,"1.5550782997762864",0.496460364639847,-0.00729555877519897,0.5,7,0.1,66.2933333333333,0.484658884814177,5.06581936910523e-07,1.43079821482212e-05,4.47030588607549e-08
3806,150,0.444326543363827,"1.5555257270693512",0.489691436639966,-0.0160965744117902,0.5,7,0.1,66.2266666666667,0.483321772670989,5.07805625488361e-07,1.19645854776796e-05,4.81933781905486e-08
3807,150,0.451885945973965,"1.5473825503355705",0.484837575334135,-0.0344264818834337,0.5,7,0.1,67.44,0.495405584862546,4.98168718552874e-07,1.38891018511702e-05,4.46767161897663e-08
3808,150,0.445347345719429,"1.5548098434004474",0.49895777399939,-0.0275136547311763,0.5,7,0.1,66.3333333333333,0.51282244134983,5.06998147797513e-07,1.17018556979599e-05,4.8555287000846e-08
3809,150,0.450181602134554,"1.5501565995525728",0.485479345211851,-0.0101789911076731,0.5,7,0.1,67.0266666666667,0.485363337390138,5.02005140114283e-07,1.63142368803318e-05,5.01157395305209e-08
3810,150,0.459211492185004,"1.541565995525727",0.556829970341189,-0.00979105959378398,0.5,7,0.1,68.3066666666667,0.499772040139428,4.92252984162115e-07,1.23465635646144e-05,4.65123746710702e-08
3811,150,0.44776737144226,"1.5499776286353468",0.45284730904519,-0.00167996028900343,0.5,7,0.1,67.0533333333333,0.520957427629185,5.00104515446908e-07,1.55442762941502e-05,3.91536348482462e-08
3812,150,0.449995741668005,"1.5509619686800895",0.522300951792855,-0.00809782433382863,0.5,7,0.1,66.9066666666667,0.491234361082655,5.02053263337634e-07,1.59385377198413e-05,4.43714602686185e-08
3813,150,0.443872029829611,"1.556420581655481",0.524404049600196,-0.0104295218007368,0.5,7,0.1,66.0933333333333,0.508419554724476,5.0861839941433e-07,1.5735830312572e-05,4.74729293232869e-08
3814,150,0.453396650313953,"1.5478299776286353",0.534729322254727,-0.0272432566090645,0.5,7,0.1,67.3733333333333,0.503892580733418,4.99232568450362e-07,1.81099480352447e-05,4.79009664230604e-08
3815,150,0.44845564143879,"1.5499776286353468",0.513939045072511,0.0111297753261533,0.5,7,0.1,67.0533333333333,0.503429886000401,5.01150833889439e-07,1.72914456895188e-05,4.56856447014704e-08
3816,150,0.450817308834833,"1.549619686800895",0.470033635868843,-0.00434356694131021,0.5,7,0.1,67.1066666666667,0.512493788125575,5.01167951293563e-07,1.73951162935315e-05,4.80668519790063e-08
3817,150,0.441250954919962,"1.5588366890380314",0.518246856017479,-0.0114882773450809,0.5,7,0.1,65.7333333333333,0.502139598561683,5.10935822798933e-07,1.4086267497056e-05,4.51379574066669e-08
3818,150,0.449245305636262,"1.5519463087248322",0.49126414997282,-0.0415160945843007,0.5,7,0.1,66.76,0.471737363207234,5.03762336054483e-07,1.46292668876838e-05,4.83513261828612e-08
3819,150,0.453772310950452,"1.5459507829977628",0.530366953024858,-0.0125405686020575,0.5,7,0.1,67.6533333333333,0.501975776637403,4.96440310145571e-07,1.79075154215321e-05,4.34481587298221e-08
3820,150,0.448161734370192,"1.552841163310962",0.493025305035008,-0.0278204461897395,0.5,7,0.1,66.6266666666667,0.49330805352204,5.04498739872801e-07,1.81148566720368e-05,4.71622121951483e-08
3821,150,0.450087319028334,"1.5493512304250558",0.487818038523286,0.000848101386430872,0.5,7,0.1,67.1466666666667,0.492784456668492,5.00176971732521e-07,1.4229724404934e-05,4.43176840535696e-08
